year,date,bill_number,vote_name,rep_name,rep_vote
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,JOHN W. FONFARA, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,CATHERINE A. OSTEN, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,DOUGLAS MCCRORY, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,PAUL M. FORMICA, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,SAUD ANWAR, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,KEVIN KELLY, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,STEVE CASSANO, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,MARILYN MOORE, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,DEREK SLAP, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,DENNIS BRADLEY, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,GENNARO BIZZARRO, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,JULIE KUSHNER, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,JOHN A. KISSEL, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,BOB DUFF, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,KEVIN D. WITKOS, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,WILL HASKELL, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,MATTHEW LESSER, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,CARLO LEONE, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,GARY WINFIELD, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,TONY HWANG, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,MARTIN M. LOONEY, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,MAE FLEXER, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,CHRISTINE COHEN, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,CRAIG MINER, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,MARY ABRAMS, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,HENRI MARTIN, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,JAMES MARONEY, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,ERIC BERTHEL, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,JOAN V. HARTLEY, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,NORM NEEDLEMAN, Y 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,ROBERT SAMPSON, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,LEONARD FASANO, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,GEORGE LOGAN, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,DAN CHAMPAGNE, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,HEATHER SOMERS, N 
2020,7_29,HB-6004,Senate Roll Call Vote 52 PASS,ALEX KASSER, Y 
